"user_id";"user_external_id";"ID";"answered";"answer"
15500;"5.20.10716837";1593433;"10-08-2021 10:08:47";1
18557;"8.21.04319894";1593439;"10-08-2021 10:09:23";1
6259;"4.18.0917596";1593449;"10-08-2021 10:11:01";1
17078;"12.20.13718415";1593480;"10-08-2021 10:13:55";1
18507;"7.21.25719844";1593489;"10-08-2021 10:14:22";1
18591;"8.21.10219928";1593528;"10-08-2021 10:16:15";1
18525;"7.21.28319862";1593539;"10-08-2021 10:16:39";1
18590;"8.21.10219927";1593551;"10-08-2021 10:16:52";1
8140;"8.18.1539477";1593558;"10-08-2021 10:17:54";1
17236;"1.21.04118573";1593571;"10-08-2021 10:19:38";1
15309;"4.20.18616646";1593578;"10-08-2021 10:20:27";1
17067;"12.20.10418404";1593583;"10-08-2021 10:28:30";1
18498;"7.21.24619835";1593593;"10-08-2021 10:36:08";1
18558;"8.21.04319895";1593603;"10-08-2021 10:41:12";1
16876;"11.20.16118213";1593613;"10-08-2021 10:45:53";1
8495;"9.18.0649832";1593623;"10-08-2021 10:51:00";1
17951;"4.21.10619288";1593633;"10-08-2021 10:57:32";1
15547;"5.20.16616884";1593643;"10-08-2021 11:01:50";1
12762;"3.19.25114099";1593653;"10-08-2021 11:04:37";1
15167;"4.20.01316504";1593663;"10-08-2021 11:06:45";1
15530;"5.20.14416867";1593673;"10-08-2021 11:21:18";1
11649;"1.19.19612986";1593683;"10-08-2021 11:42:09";1
15142;"3.20.28616479";1593693;"10-08-2021 11:51:43";1
7960;"7.18.2869297";1593703;"10-08-2021 12:31:22";1
18594;"8.21.10219931";1593725;"10-08-2021 13:57:43";1
11396;"1.19.06712733";1593741;"10-08-2021 14:06:36";1
10155;"11.18.14311492";1593751;"10-08-2021 15:30:18";1
11009;"12.18.19312346";1593761;"10-08-2021 15:57:15";1
18588;"8.21.10219925";1593771;"10-08-2021 17:43:45";1
5610;"2.18.0366947";1593782;"10-08-2021 19:19:35";1
15315;"4.20.19716652";1593792;"10-08-2021 19:24:04";1
18485;"7.21.21319822";1593802;"10-08-2021 23:31:59";1
18601;"8.21.11319938";1593867;"11-08-2021 09:54:13";1
16467;"9.20.27717804";1593899;"11-08-2021 11:37:19";1
18539;"7.21.31619876";1593910;"11-08-2021 13:41:26";1
18568;"8.21.07619905";1593952;"11-08-2021 20:10:18";1
18607;"8.21.11319944";1593983;"11-08-2021 22:27:55";1
18608;"8.21.11319945";1594014;"12-08-2021 00:01:40";1
18040;"4.21.24619377";1594037;"12-08-2021 06:46:25";1
16161;"8.20.13417498";1594051;"12-08-2021 09:24:01";1
16259;"8.20.25217596";1596352;"13-08-2021 20:12:17";1
16114;"8.20.03117451";1596436;"13-08-2021 20:34:55";1
17202;"12.20.31418539";1596585;"13-08-2021 22:39:22";1
5977;"3.18.1177314";1597479;"14-08-2021 17:56:24";1
4059;"8.17.2225396";1597793;"17-08-2021 09:32:21";1
18641;"8.21.17219978";1597826;"17-08-2021 15:39:54";1
4561;"10.17.1615898";1597895;"18-08-2021 17:37:38";1
18651;"8.21.19419988";1597959;"19-08-2021 00:41:56";1
17426;"1.21.28418763";1600641;"19-08-2021 15:30:31";1
18560;"8.21.05419897";1600676;"19-08-2021 15:32:22";1
18657;"8.21.19419994";1601199;"19-08-2021 17:13:13";1
13277;"6.19.02714614";1602862;"21-08-2021 16:53:55";1
18668;"8.21.22720005";1603082;"22-08-2021 19:49:48";1
18064;"4.21.29419401";1603191;"23-08-2021 07:46:36";1
18680;"8.21.24220017";1604362;"24-08-2021 12:24:41";1
18683;"8.21.24220020";1604419;"24-08-2021 17:09:07";1
18686;"8.21.25320023";1604452;"25-08-2021 05:22:12";1
18688;"8.21.25320025";1604488;"25-08-2021 14:04:25";1
18690;"8.21.25320027";1604531;"25-08-2021 16:49:39";1
18692;"8.21.25320029";1604630;"26-08-2021 21:48:33";1
18706;"8.21.27520043";1604721;"27-08-2021 21:36:26";1
18707;"8.21.27520044";1604749;"27-08-2021 23:24:30";1
18715;"8.21.28620052";1604864;"28-08-2021 13:28:31";1
18718;"8.21.28620055";1604909;"28-08-2021 21:35:24";1
18739;"8.21.31220076";1605181;"31-08-2021 14:50:06";1
18740;"8.21.31220077";1605657;"31-08-2021 17:15:24";1
18743;"9.21.01320080";1605853;"01-09-2021 13:43:12";1
18754;"9.21.02420091";1608842;"02-09-2021 16:53:57";1
6436;"5.18.0237773";1609048;"05-09-2021 09:02:03";1
18821;"9.21.08320158";1610187;"08-09-2021 17:33:32";1
18822;"9.21.08320159";1610226;"08-09-2021 19:44:02";1
18825;"9.21.08320162";1610255;"08-09-2021 23:25:16";1
18826;"9.21.09420163";1610284;"09-09-2021 07:18:30";1
18833;"9.21.09420170";1617721;"09-09-2021 20:46:20";1
4931;"11.17.2346268";1631625;"13-09-2021 21:42:30";1
18870;"9.21.14220207";1633460;"14-09-2021 19:48:54";1
18885;"9.21.16420222";1634426;"16-09-2021 10:16:41";1
18879;"9.21.15320216";1634462;"16-09-2021 13:09:24";1
18892;"9.21.17520229";1634562;"17-09-2021 07:56:58";1
18896;"9.21.17520233";1639137;"17-09-2021 20:31:32";1
18906;"9.21.18620243";1640575;"18-09-2021 08:14:15";1
16827;"11.20.10218164";1643226;"18-09-2021 13:27:14";1
18464;"7.21.13219801";1650582;"19-09-2021 16:44:59";1
18952;"9.21.22320289";1657575;"22-09-2021 14:24:16";1
